00015-000011|hEHSaSEkASTEGIOKUFTEGIMIKARDi
00015-000012|TAMaMEsABhAZSARMaLARZIDEBUDi
00015-000013|HAQQDasTi
00015-000014|DIsABiYEKIhAZSARDTARINsABHaYESaLBUDiRUYEPANJEREHaODARZHaYEDIVaRiYAkiQATURIBASTEsODEBUDicOkOFhaREZUMIKARDiHIcVAQTSAHARNAsAVADihAMMaRUZEGaRkALaFEhaREZUYEihaDAMHaMIGARDADi
00015-000015|iNOKTEYESEVVOMi
00015-000016|iTUYEBaZDasTGaHiKOMAKYaihAMALEiDaVTALABaNEhIiBEDUNEPaDasNEMIMaNADi
00015-000017|HARcANDiDASTRUYEDASTiBESYaRhASTi
00015-000018|iNOKTEYEcaHaROMiJIREYEKAMZENDaNIYaNRaBEHkORDANTAHMaNDEYEKaSEHaMAJBURMIKONADi
00015-000019|hAVVALINBaRcOkOFDARGORUHTAHTERAHBARIYEKOZIYaMINBUDi
00015-000020|iZENDaNIYEZAJRKEsIDEhIKEHDAVaZDAHSaLEPIsiYAhNIhAVaYELESaLEHEZaRONOHSADOSIOYEKBEHBaZDasTGaHhaMADi
00015-000021|iKOZIYaMINBEHhAFRaDEGORUHAsiDARBaREYEZENDEGIDARZENDaNGOFTEBUDi
00015-000022|PEDARETUNDARMIYaDhEHTEMaLANRUZISADBaRhaREZUYEMARGMIKONIMihAMakEYLIHaHAMMJUNESaLEMBEii
00015-000022|icETORIiBaREhaYATEcANDQaNUNESaDEiYEKiHIcVAQTTAHMaNDEYEQAZaYIYEKASIRONAkORIDiDOi
00015-000023|iVaSEYEHARFEiDOKTORaTAREkORDNAKONINiSEikIYaNATiYAhNIMARGiNOKTEYEPANJOMikIYaNATKaRHaBaGEREFTANiJaNEDIGARaNkODEsaNRaZENDENEGAHMIDaRANDi
00015-000024|icOkOFiBaSEVVOMINQaNUNEKOZIYaMINiMOVaFEQNABUDi
00015-000025|TAkTEcOkOFTABAQEYEDOVVOMBUDi
00015-000026|iSARAsROZIREPATUKARDEOMaBAQIYEBADANRaBaKOTAsPUsaNDEBUDi
00015-000027|hAZZIREPATUSAROSEDaYEhATRaFRaMIsENIDi
00015-000028|MAShULEJAMhaVARIZOBaLESATLHaRaBIRUNMIBORDi
00015-000029|MAhMULANZENDaNIHaYERIQURaMAShULEJAMhaVARIZOBaLEMIKARDANDi
00015-000030|BEHNAZAREsaNTAkLIYEYEZOBaLEhaSaNTARINKaRMOMKENBUDihAMaVAQTIDARSARMaYEDIVaNEVaRJaBEJaYEsaNKONIDBEDUNEhINKEZOBaLEhIhAZSUYESATLHaBIRUNBERIZIDi
00015-000031|iMIZaNESAkTIKaRiDASTETaNMIhaYADi
00015-000032|icOkOFhOZVEDASTEYESADOcaHaRBUDi
00015-000033|iRAHBAREDASTETIYURINiVaVMOhaVENAsPahOLOBUDi
00015-000034|icOkOFhAZZIREPATUSAROSEDaYEhAhZaYEDASTEhAsRaMIsENIDi
00015-000035|hEMRUZVAZIFEYEkOsKKARDANiNIMcAKMEHaRaDasTEhANDi
00015-000036|TIYURINiVAPahOLOBEDUNEKUcAKTARINSEDaYIBIRUNRAFTANi
00015-000037|PahOLOBEHNaNVaYIVATIYURINBEHDAFTARETARHOBARNaMERAFTi
00015-000038|iRAHBAREHARGORUHBARaYEGEREFTANDASTURaTERUZiHARSOBHBEHDAFTARETARHOBARNaMEMIRAFTi
00015-000039|DASTEiSADhOcaHaRTEBQEBARNaMEihEMRUZBaYADBEHMAHALLENEMUNEYEZENDEGIYESOSIYaLISTIMIRAFTi
00015-000040|MANTAQEhIDARANDAsTKEHBIRUNEZENDaNBUDi
00015-000041|hAVVALINKaRZENDaNIHaDARMAHALLENEMUNEYEZENDEGIYESOSIYaLISTIiKEsIDANSIMkaRDaRiDOREMOHAVVATEBUDi
00015-000042|DARVaQEhkODEsaNRaZENDaNIMIKARDANDi
00015-000043|DIGARKASIFEKREFARaRBEHSARAsiMIZADi
00015-000044|HARcANDKASITAVaNFARaRNADasTi
00015-000045|TUYEMANTAQETacEsMKaRMIKARDiDAsTOiBARFBUDi
00015-000046|BaDhAZHARTARAFBEBADANZENDaNIYaNsALLaQMIZADi
00015-000047|icUBIHAMMBARaYEBARPaKARDANhaTAsPEYDaNEMIsODiHAMEBaYADMESLEihASBKaRMIKARDANDiTasaYADKAMIGARMsAVANDi
00015-000048|iNOKTEYEsEsOMihAGARRAHBAREDASTEYESEBILEMAhMURINRacARBKONADiGORUHAsRaSARKaRiRaHATTARIMIGOZARaNDi
00015-000049|TIYURINBEhONVaNERAHBARiDASTBEKaRsODi
00015-000050|BEHMAhMURETAQSIMBANDIYEVAZaYEFiYEKPONDcARBIkUBDaDiBEHhOMIDhINKEDASTEhAsJaYEBEHTARIBERAVAD
00016-000051|hALBATEREQaBATEBEYNRAHBAREDASTEHasADIDBUDiBANaBARINYEKPONDcARBIiROTBEYEZIYaDIMAHSUBNEMIsODi
00016-000052|icOkOFHAMUNTORKEZIREPATUBUDi
00016-000053|iFEKRIBEHSARAsZADisaYADBADNABasADkODAsRaBEHBIMaRIBEZANADiVAcANDRUZIhAZKaRMOhaFsAVADi
00016-000054|hALBATEKEVaQEhANNakOsBUDi
